chromosome	scaffold	position	Fst	piPop1	piPop2	piPop1_egg	piPop2_egg	TajDPop1	TajDPop2	thetaWPop1	thetaWPop2	SPop1	SPop2	Dxy	Dxy_egg	SampleNrPop1	SampleNrPop2	genome_pos	comp
CHR1	CHR1	17374838	0.0049	0.0086	0.0094	201.8261	216.7318	-0.7093	-0.2935	243.8717	232.8969	889	814	0.0091	0.0028	12	12	17374838	Belgium
CHR1	CHR1	17399665	0.0012	0.0086	0.0102	303.6819	337.598	-0.5765	-0.1331	353.5806	348.6727	1305	1237	0.0094	0.0043	12	12	17399665	Belgium
CHR1	CHR1	17425106	0	0.0097	0.0118	457.3184	539.5771	-0.4525	-0.0705	514.2498	548.8001	1898	1947	0.0107	0.0055	12	12	17425106	Belgium
CHR1	CHR1	17450000	0	0.0111	0.0135	577.5558	688.7847	-0.7455	-0.2477	706.3484	732.0154	2607	2597	0.0122	0.0065	12	12	17450000	Belgium
CHR1	CHR1	17475001	0	0.0113	0.0148	584.7571	754.0181	-0.9551	-0.2226	762.9755	796.2817	2816	2825	0.0129	0.0074	12	12	17475001	Belgium
CHR1	CHR1	17499998	0	0.0094	0.0128	471.3986	634.6068	-0.9492	-0.2531	613.9568	675.3596	2266	2396	0.011	0.0069	12	12	17499998	Belgium
CHR1	CHR1	17525003	0.0017	0.0072	0.0102	346.5705	445.6271	-1.051	-0.5	466.5638	505.2777	1722	1766	0.0087	0.0066	12	12	17525003	Belgium
CHR1	CHR1	17549632	0	0.0108	0.0139	454.4647	527.5864	-0.3307	0.1768	494.471	506.2378	1825	1796	0.0123	0.016	12	12	17549632	Belgium
CHR1	CHR1	17576632	0	0.0146	0.0169	297.0472	342.3707	0.1924	0.6202	283.6773	298.218	1047	1058	0.0156	0.0194	12	12	17576632	Belgium
CHR1	CHR1	17599999	0.0049	0.0086	0.0067	32.5297	38.855	-0.7015	-0.2517	39.1799	41.211	139	134	0.0077	0.0055	12	12	17599999	Belgium
CHR1	CHR1	17625003	0.0167	0.0158	0.0134	58.5215	66.9285	0.0527	0.289	57.7951	62.8904	202	200	0.0151	0.0055	12	12	17625003	Belgium
CHR1	CHR1	17649987	0.0108	0.0172	0.0154	69.2402	94.6072	0.3926	0.3353	63.3803	87.9577	218	286	0.0166	0.0011	12	12	17649987	Belgium
CHR1	CHR1	17671744	0	0.0157	0.0142	75.8541	78.2128	-0.3461	-0.3112	82.5689	84.3013	284	285	0.0148	0.0014	12	12	17671744	Belgium
CHR1	CHR1	17706415	0	0.0173	0.0137	49.7827	54.1786	-0.4588	-0.2558	55.8212	57.5608	192	191	0.0155	0.0017	12	12	17706415	Belgium
CHR1	CHR1	17725002	0.0202	0.0157	0.0144	92.7514	84.2685	0.5415	0.8694	81.9959	70.1032	295	237	0.0156	0.0057	12	12	17725002	Belgium
CHR1	CHR1	17750001	0.0206	0.0156	0.0141	91.2182	71.7787	0.467	0.7404	82.0241	61.2294	291	207	0.0154	0.0057	12	12	17750001	Belgium
CHR1	CHR1	17774837	0.0234	0.0075	0.0051	12.6942	18.0924	-0.6673	-0.842	15.0683	22.235	50	69	0.0066	0.0005	12	12	17774837	Belgium
CHR1	CHR1	17800020	0	0.0065	0.0049	11.3749	15.5456	-0.2569	-0.7765	12.1276	18.8671	41	60	0.0056	0.0005	12	12	17800020	Belgium
CHR1	CHR1	17825013	0.0235	0.018	0.0179	38.664	47.7644	0.0567	0.381	38.1575	44.0233	129	140	0.0188	0.002	12	12	17825013	Belgium
CHR1	CHR1	17849999	0.0078	0.0136	0.0128	71.615	84.4838	-0.2182	0.3234	75.5341	78.6564	264	261	0.0134	0.0043	12	12	17849999	Belgium
CHR1	CHR1	17875003	0	0.0113	0.0105	36.799	82.3224	-0.596	-0.0865	42.9171	83.9596	150	273	0.0109	0.0047	12	12	17875003	Belgium
CHR1	CHR1	17900001	0.0464	0.0072	0.0053	2.566	64.199	-1.3736	0.0994	3.867	62.8381	12	195	0.0067	NA	12	12	17900001	Belgium
CHR1	CHR1	17925001	0.0423	0.0328	0.0313	30.6666	98.9167	0.2173	0.4612	29.2167	89.9069	95	279	0.0348	NA	12	12	17925001	Belgium
CHR1	CHR1	17949999	0.0427	0.0351	0.0294	31.3326	95.7015	0.3171	0.0309	29.2167	95.0628	95	295	0.0351	NA	12	12	17949999	Belgium
CHR1	CHR1	17975001	0.0295	0.0074	0.0039	5.7296	20.2128	-1.2539	-0.8875	8.0562	25.1353	25	78	0.006	NA	12	12	17975001	Belgium
CHR1	CHR1	18000001	0.0152	0.02	0.0182	68.3162	65.3744	-0.054	0.3923	69.195	59.9718	238	199	0.0197	0.0014	12	12	18000001	Belgium
CHR1	CHR1	18024995	0.0067	0.0174	0.0199	130.1145	150.2092	-0.6611	0.015	154.8194	149.6728	557	531	0.0189	0.0117	12	12	18024995	Belgium
CHR1	CHR1	18049845	0.0065	0.0164	0.0202	101.2302	127.3541	-1.1546	-0.4189	140.3659	141.8242	505	517	0.0186	0.0111	12	12	18049845	Belgium
CHR1	CHR1	18075230	0	0.0208	0.0201	75.2038	55.0835	-0.1391	-0.6557	77.8266	65.3937	280	232	0.0203	0.0051	12	12	18075230	Belgium
CHR1	CHR1	18099974	0	0.017	0.0108	55.9433	21.835	0.6155	-0.7437	48.8436	26.6086	168	93	0.0135	0.0072	12	12	18099974	Belgium
CHR1	CHR1	18125043	0	0.0133	0.0111	35.0528	17.08	0.1177	-0.7387	34.1374	20.7056	111	70	0.0117	NA	12	12	18125043	Belgium
CHR1	CHR1	18150008	0	0.0201	0.019	45.4352	30.9211	0.0221	0.1123	45.209	30.1366	147	100	0.0195	NA	12	12	18150008	Belgium
CHR1	CHR1	18174996	0.013	0.0213	0.0185	45.8282	29.1294	0.002	0.3185	45.8076	27.1229	152	90	0.0204	NA	12	12	18174996	Belgium
CHR1	CHR1	18199963	0.036	0.0168	0.0127	41.9211	17.7683	-0.0382	1.5166	42.2986	13.0149	143	44	0.0158	NA	12	12	18199963	Belgium
CHR1	CHR1	18225025	0.0423	0.0113	0.0095	24.989	11.8078	-0.2941	1.3468	26.8215	8.8738	89	30	0.0113	NA	12	12	18225025	Belgium
CHR1	CHR1	18249325	0.0451	0.0079	0.0131	1.9383	2.8911	-0.3589	-0.0124	2.1528	2.9002	7	9	0.0117	NA	12	12	18249325	Belgium
CHR1	CHR1	18275296	0.0206	0.0314	0.0328	83.3445	32.9416	0.3248	0.4976	77.4981	29.5338	262	98	0.0334	0.0096	12	12	18275296	Belgium
CHR1	CHR1	18300002	0.0154	0.0326	0.0334	83.3445	32.9416	0.3248	0.4976	77.4981	29.5338	262	98	0.034	0.0096	12	12	18300002	Belgium
CHR1	CHR1	18325002	0	0.0179	0.0172	119.571	100.5862	0.8895	1.1725	98.3951	78.1816	354	285	0.0172	0.0047	12	12	18325002	Belgium
CHR1	CHR1	18349999	0	0.0229	0.0196	188.1363	154.011	0.4618	0.5608	169.2729	135.6407	609	488	0.0208	0.0061	12	12	18349999	Belgium
CHR1	CHR1	18374880	0	0.0357	0.0298	68.5653	53.4249	-0.1345	-0.2754	70.8778	57.2195	255	203	0.0325	0.0103	12	12	18374880	Belgium
CHR1	CHR1	18400027	0	0.0451	0.0297	10.41	1.1818	0.8568	-0.379	8.7007	1.3246	27	4	0.0362	NA	12	12	18400027	Belgium
CHR1	CHR1	18424997	0	0.0387	0.029	10.41	1.1818	0.8568	-0.379	8.7007	1.3246	27	4	0.0324	NA	12	12	18424997	Belgium
CHR1	CHR1	18450000	0.0686	0.0069	0.0099	6.7972	10.2101	-2.0186	-0.2183	13.3738	10.7641	46	35	0.0096	NA	12	12	18450000	Belgium
CHR1	CHR1	18475004	0.0287	0.014	0.0146	21.6014	25.1053	-1.2385	-0.4504	30.4668	27.9865	103	91	0.0151	NA	12	12	18475004	Belgium
CHR1	CHR1	18500003	0	0.0246	0.0234	95.5025	66.804	-0.3839	-0.6566	104.9555	78.4238	361	255	0.0236	NA	12	12	18500003	Belgium
CHR1	CHR1	18524996	0.0029	0.0119	0.0153	404.2552	348.5878	-0.0315	0.6351	407.3673	303.5279	1485	1044	0.0137	0.0149	12	12	18524996	Belgium
CHR1	CHR1	18549996	0	0.0089	0.0125	504.708	461.552	0.0238	0.6833	501.7864	398.0169	1852	1369	0.0107	0.0183	12	12	18549996	Belgium
CHR1	CHR1	18575002	0	0.0049	0.007	278.217	263.8071	-0.7238	-0.6366	338.1369	309.924	1248	1066	0.0058	0.0151	12	12	18575002	Belgium
CHR1	CHR1	18600001	0.0012	0.004	0.0049	231.0796	206.113	-1.3652	-1.5086	347.078	318.3554	1281	1095	0.0045	0.0017	12	12	18600001	Belgium
CHR1	CHR1	18624255	0.0122	0.0049	0.0053	227.3126	177.8187	-1.403	-1.6043	344.822	282.4835	1257	955	0.0052	0.0019	12	12	18624255	Belgium
CHR1	CHR1	18650872	0.0039	0.0049	0.0058	194.3821	175.612	-1.7079	-1.7497	332.2032	297.1317	1211	1022	0.0054	0.004	12	12	18650872	Belgium
CHR1	CHR1	18674998	0	0.0042	0.0048	192.111	199.2407	-1.9137	-1.9106	361.438	359.9305	1334	1238	0.0045	0.0036	12	12	18674998	Belgium
CHR1	CHR1	18700000	0	0.0037	0.0045	198.2895	196.0903	-1.6472	-1.4493	330.5573	296.5502	1205	1020	0.004	0.0025	12	12	18700000	Belgium
CHR1	CHR1	18725000	0	0.0062	0.0076	332.0042	305.6259	-0.7811	-0.6041	410.4786	355.8602	1515	1224	0.0068	0.0042	12	12	18725000	Belgium
CHR1	CHR1	18750003	0	0.0066	0.0068	361.2009	321.123	-0.5489	-0.4891	417.2522	363.0789	1540	1269	0.0066	0.0029	12	12	18750003	Belgium
CHR1	CHR1	18775000	0	0.0039	0.0041	213.084	171.6699	-0.9036	-0.8028	273.6524	211.3647	1010	727	0.0039	0.0026	12	12	18775000	Belgium
CHR1	CHR1	18800003	0	0.0039	0.0036	185.2933	121.4625	-1.161	-1.0718	258.1365	161.5036	941	546	0.0037	0.0008	12	12	18800003	Belgium
CHR1	CHR1	18824999	0	0.0066	0.0074	289.1327	212.0829	-0.5159	-0.2923	330.5573	227.6459	1205	783	0.0068	0.0049	12	12	18824999	Belgium
CHR1	CHR1	18850001	0	0.0077	0.0094	372.6784	308.4823	-0.418	-0.1515	414.774	319.809	1512	1100	0.0084	0.0039	12	12	18850001	Belgium
CHR1	CHR1	18874998	0	0.0066	0.0088	289.7547	233.9862	-0.6359	-0.3205	342.1593	252.9399	1231	870	0.0077	0.0042	12	12	18874998	Belgium
CHR1	CHR1	18900003	0	0.0057	0.0073	250.5355	204.0835	-0.5426	-0.4327	288.5861	227.0644	1052	781	0.0064	0.006	12	12	18900003	Belgium
CHR1	CHR1	18925002	0	0.009	0.0095	303.0426	223.6143	-0.3921	-0.0703	334.9465	227.3552	1221	782	0.0091	0.0067	12	12	18925002	Belgium
CHR1	CHR1	18949998	0.0026	0.0067	0.0065	253.8338	162.2569	-0.8802	-0.2379	322.8763	171.8247	1177	591	0.0066	0.0088	12	12	18949998	Belgium
CHR1	CHR1	18975002	0	0.0036	0.0035	208.6035	177.2916	-1.4318	-0.7281	319.8588	213.6906	1166	735	0.0036	0.0025	12	12	18975002	Belgium
CHR1	CHR1	19000002	0	0.0084	0.0102	436.0942	492.8748	-0.837	0.1572	548.3886	475.2357	2024	1661	0.0092	0.0079	12	12	19000002	Belgium
CHR1	CHR1	19024995	0	0.012	0.0141	588.49	721.6319	-0.7638	0.4044	723.6887	658.1655	2671	2335	0.013	0.0076	12	12	19024995	Belgium
CHR1	CHR1	19050008	0.0002	0.0087	0.0095	389.7316	462.1047	-1.1284	-0.0915	538.3637	472.4135	1987	1676	0.0091	0.0033	12	12	19050008	Belgium
CHR1	CHR1	19074998	0	0.0055	0.0047	270.5311	241.7054	-1.1549	-0.5679	377.1527	279.6147	1392	992	0.005	0.0025	12	12	19074998	Belgium
CHR1	CHR1	19099996	0	0.0053	0.005	286.0651	259.9303	-0.8446	-0.4782	360.6251	293.4263	1331	1041	0.0051	0.0026	12	12	19099996	Belgium
CHR1	CHR1	19125002	0	0.0095	0.0098	468.2606	434.8489	-0.4234	-0.2797	522.3781	465.9305	1928	1653	0.0095	0.0074	12	12	19125002	Belgium
CHR1	CHR1	19150001	0	0.0087	0.0089	468.8854	421.1691	-0.5239	-0.2336	537.8218	445.7659	1985	1558	0.0086	0.0078	12	12	19150001	Belgium
CHR1	CHR1	19175003	0	0.0056	0.0053	318.5568	277.7254	-0.9233	-0.382	411.5624	305.2838	1519	1067	0.0054	0.0016	12	12	19175003	Belgium
CHR1	CHR1	19199999	0	0.0063	0.0058	301.018	253.4838	-0.9069	-0.6475	386.9066	299.2754	1428	1046	0.006	0.0024	12	12	19199999	Belgium
CHR1	CHR1	19225002	0	0.0052	0.0048	204.2431	178.2803	-0.9726	-0.72	267.4634	214.8718	975	751	0.005	0.0024	12	12	19225002	Belgium
CHR1	CHR1	19250000	0	0.004	0.0044	151.3174	144.9878	-1.1449	-0.5988	209.0201	168.6266	752	580	0.0042	0.0015	12	12	19250000	Belgium
CHR1	CHR1	19274998	0	0.0069	0.008	319.3137	336.9623	-0.667	-0.221	381.0325	355.7195	1389	1262	0.0073	0.0029	12	12	19274998	Belgium
CHR1	CHR1	19299752	0	0.0109	0.013	522.1598	568.2848	-0.2222	0.2469	552.1818	536.6797	2038	1904	0.0117	0.0086	12	12	19299752	Belgium
CHR1	CHR1	19325024	0	0.0075	0.0093	342.7671	361.4146	-0.5791	0.2833	399.37	338.5254	1474	1201	0.0082	0.0116	12	12	19325024	Belgium
CHR1	CHR1	19350001	0	0.0025	0.0024	123.5512	115.2739	-1.6947	-0.7646	211.3355	140.7682	780	492	0.0024	0.001	12	12	19350001	Belgium
CHR1	CHR1	19375003	0	0.0055	0.0074	269.896	315.8029	-1.1385	-0.4134	374.1723	350.3639	1381	1243	0.0064	0.0037	12	12	19375003	Belgium
CHR1	CHR1	19400001	0	0.006	0.0081	331.7875	390.5119	-1.1131	-0.3636	455.9971	427.5962	1683	1517	0.007	0.0034	12	12	19400001	Belgium
CHR1	CHR1	19424722	0	0.0036	0.0044	193.1523	210.2095	-1.3729	-0.365	290.9928	230.2875	1074	817	0.004	0.0019	12	12	19424722	Belgium
CHR1	CHR1	19451111	0	0.0052	0.0061	257.1958	262.0483	-0.848	0.1574	324.5897	252.5552	1198	896	0.0056	0.0084	12	12	19451111	Belgium
CHR1	CHR1	19474995	0	0.0064	0.0077	310.4387	309.457	-0.8415	-0.1597	390.9707	321.5923	1443	1124	0.007	0.0084	12	12	19474995	Belgium
CHR1	CHR1	19500002	0.0001	0.0056	0.0068	262.5076	256.9997	-0.9856	-0.5449	345.9942	294.9837	1277	1031	0.0062	0.0045	12	12	19500002	Belgium
CHR1	CHR1	19524999	0	0.0072	0.009	374.0271	385.8051	-0.4633	0.2899	421.8582	361.0761	1557	1262	0.0081	0.0075	12	12	19524999	Belgium
CHR1	CHR1	19550002	0	0.0062	0.0073	334.6901	340.8309	-0.4832	0.3973	379.5911	311.5783	1401	1089	0.0067	0.0065	12	12	19550002	Belgium
CHR1	CHR1	19575001	0.0021	0.0035	0.0033	186.8843	170.3314	-0.9845	-0.4314	246.2872	189.6937	909	663	0.0034	0.0025	12	12	19575001	Belgium
CHR1	CHR1	19600003	0	0.0065	0.0075	331.2369	322.6642	0.1472	0.7393	319.7127	274.6696	1180	960	0.0069	0.0158	12	12	19600003	Belgium
CHR1	CHR1	19623924	0	0.0121	0.0133	445.3044	409.5627	1.1724	1.5587	345.9942	298.4999	1277	1059	0.0124	0.0177	12	12	19623924	Belgium
CHR1	CHR1	19650244	0	0.0229	0.0208	602.0424	474.4334	1.7016	1.766	426.0212	334.7536	1553	1170	0.0215	0.0189	12	12	19650244	Belgium
CHR1	CHR1	19675123	0.0018	0.0175	0.0169	702.5543	539.4812	1.3228	1.2392	530.7773	418.3684	1959	1439	0.0173	0.0178	12	12	19675123	Belgium
CHR1	CHR1	19700004	0	0.016	0.016	805.7594	685.2791	0.6151	0.8387	700.3876	571.0678	2585	2026	0.016	0.0161	12	12	19700004	Belgium
CHR1	CHR1	19724997	0	0.018	0.0191	905.2765	914.7665	0.1329	0.5867	876.7715	801.6144	3236	2884	0.0184	0.0137	12	12	19724997	Belgium
CHR1	CHR1	19750003	0	0.0137	0.0164	692.3339	776.0417	-0.222	0.2903	732.088	725.8143	2702	2575	0.015	0.0089	12	12	19750003	Belgium
CHR1	CHR1	19774746	0	0.0113	0.0122	520.1481	527.5349	0.0221	0.5173	517.3702	469.5948	1886	1666	0.0116	0.0072	12	12	19774746	Belgium
CHR1	CHR1	19800197	0	0.0075	0.0081	338.8878	329.5877	-0.3965	0.1918	374.9974	315.2978	1367	1102	0.0077	0.0064	12	12	19800197	Belgium
CHR1	CHR1	19824999	0.0005	0.0058	0.0059	313.2815	307.9937	-0.9166	-0.3549	402.9782	336.1842	1469	1175	0.0059	0.0036	12	12	19824999	Belgium
CHR1	CHR1	19850004	0.0032	0.0063	0.0062	349.8754	332.7778	-0.7613	-0.1741	429.9865	347.0565	1587	1213	0.0063	0.004	12	12	19850004	Belgium
CHR1	CHR1	19874998	0.0036	0.0047	0.0053	258.1275	265.4064	-1.2153	-0.2056	366.2191	278.9613	1335	975	0.005	0.0027	12	12	19874998	Belgium
CHR1	CHR1	19900001	0	0.0073	0.0084	389.8003	408.8061	-0.7289	0.1915	474.4212	391.1181	1751	1367	0.0078	0.0051	12	12	19900001	Belgium
CHR1	CHR1	19925000	0	0.0085	0.0092	480.4697	491.7461	-0.3874	0.6067	530.7773	429.5693	1959	1524	0.0087	0.0057	12	12	19925000	Belgium
CHR1	CHR1	19950003	0	0.0071	0.0079	393.0889	406.8734	-0.5214	0.4154	450.5782	370.5179	1663	1295	0.0073	0.0044	12	12	19950003	Belgium
CHR1	CHR1	19975005	0	0.0088	0.0101	450.749	452.8162	-0.3673	0.2633	494.8759	426.3101	1804	1490	0.0094	0.0082	12	12	19975005	Belgium
CHR1	CHR1	19999998	0	0.0092	0.0103	470.484	459.7716	-0.2529	0.133	501.5155	445.7659	1851	1558	0.0097	0.008	12	12	19999998	Belgium
CHR1	CHR1	20024928	0	0.0064	0.0074	317.7929	323.5637	-0.608	-0.0776	373.3594	329.6035	1378	1152	0.0069	0.0085	12	12	20024928	Belgium
CHR1	CHR1	20050048	0	0.0063	0.0073	297.3672	330.8867	-0.6331	0.0612	351.4057	326.1702	1281	1140	0.0068	0.0088	12	12	20050048	Belgium
CHR1	CHR1	20074984	0	0.0061	0.0067	275.3745	307.9412	-0.6787	-0.0067	329.7344	308.4311	1202	1078	0.0064	0.0037	12	12	20074984	Belgium
CHR1	CHR1	20100036	0	0.0095	0.0103	428.4629	440.8747	0.056	0.7563	422.6711	373.4772	1560	1325	0.0097	0.013	12	12	20100036	Belgium
CHR1	CHR1	20118613	0	0.0133	0.0145	381.8468	383.0368	0.4588	1.1015	343.2848	303.2917	1267	1076	0.0137	0.0161	12	12	20118613	Belgium
CHR1	CHR1	20155424	0	0.0118	0.0129	216.4239	213.9501	0.6774	1.3004	185.596	163.2025	685	579	0.0122	0.0104	12	12	20155424	Belgium
CHR1	CHR1	20176719	0	0.0098	0.0098	377.6227	356.4807	-0.2067	0.3122	397.7443	331.7605	1468	1177	0.0098	0.0071	12	12	20176719	Belgium
CHR1	CHR1	20200001	0.0013	0.0068	0.0067	332.5885	300.3814	-0.9075	-0.3919	427.548	331.0341	1578	1157	0.0068	0.0034	12	12	20200001	Belgium
CHR1	CHR1	20225000	0	0.0061	0.0064	306.5539	274.2332	-1.0142	-0.3725	407.7692	300.706	1505	1051	0.0062	0.007	12	12	20225000	Belgium
CHR1	CHR1	20250001	0	0.0084	0.0086	339.1364	300.2577	-0.795	-0.2417	420.2604	318.4451	1532	1113	0.0085	0.0083	12	12	20250001	Belgium
CHR1	CHR1	20274998	-0.0	0.0077	0.0084	256.0637	234.885	-0.8153	-0.0712	319.3101	238.9053	1164	835	0.0081	0.0064	12	12	20274998	Belgium
CHR1	CHR1	20300012	0	0.0044	0.0049	203.3962	197.2908	-1.3032	-0.3065	297.6387	212.5276	1085	731	0.0046	0.0032	12	12	20300012	Belgium
CHR1	CHR1	20325001	0	0.005	0.0047	216.6704	188.8323	-1.2743	-0.2978	313.8237	203.1411	1144	710	0.0048	0.0031	12	12	20325001	Belgium
CHR1	CHR1	20349998	0	0.0056	0.0054	226.9491	207.123	-1.2785	-0.312	329.1857	223.8045	1200	794	0.0054	0.0038	12	12	20349998	Belgium
CHR1	CHR1	20375004	0.0034	0.007	0.0083	350.0425	393.6171	-0.8475	0.1282	441.6371	381.9333	1630	1355	0.0077	0.0054	12	12	20375004	Belgium
CHR1	CHR1	20400001	0.0031	0.0117	0.013	523.6127	541.6647	-0.007	0.7111	524.5026	463.1118	1912	1643	0.0124	0.0069	12	12	20400001	Belgium
CHR1	CHR1	20424997	0	0.0129	0.0136	599.2443	584.5221	0.3138	1.026	556.5169	469.5948	2054	1666	0.0131	0.007	12	12	20424997	Belgium
CHR1	CHR1	20449999	0	0.0077	0.009	398.2093	418.7447	-0.6108	0.723	468.1895	357.1288	1728	1267	0.0083	0.0066	12	12	20449999	Belgium
CHR1	CHR1	20474981	0.0051	0.0046	0.0051	243.1964	257.1229	-1.5994	-0.3272	399.6409	278.6752	1475	974	0.0049	0.0048	12	12	20474981	Belgium
CHR1	CHR1	20500018	0.0018	0.0065	0.0075	352.587	370.4455	-1.3873	-0.5842	533.7577	429.7435	1970	1502	0.007	0.0056	12	12	20500018	Belgium
CHR1	CHR1	20524999	0.0026	0.0061	0.0066	339.0942	364.7411	-1.4327	-0.6512	522.1072	431.8242	1927	1532	0.0064	0.0034	12	12	20524999	Belgium
CHR1	CHR1	20549998	0.0007	0.0046	0.004	255.7231	243.4246	-1.6139	-0.7858	422.6711	299.6274	1560	1063	0.0043	0.0024	12	12	20549998	Belgium
CHR1	CHR1	20575002	0	0.0042	0.0032	229.7385	194.2037	-1.6647	-0.8836	387.7194	245.486	1431	858	0.0037	0.0023	12	12	20575002	Belgium
CHR1	CHR1	20599994	0	0.0045	0.0035	214.0495	180.4334	-1.4717	-0.7381	334.6146	218.5912	1235	764	0.0039	0.0022	12	12	20599994	Belgium
CHR1	CHR1	20625012	0	0.0034	0.0034	161.2686	183.0135	-1.3718	-0.7519	241.9515	222.5968	882	778	0.0034	0.0011	12	12	20625012	Belgium
CHR1	CHR1	20649999	0.0015	0.0034	0.0044	173.1359	240.4995	-1.143	-0.4345	239.7569	268.3399	874	952	0.0039	0.0023	12	12	20649999	Belgium
CHR1	CHR1	20675001	0	0.0058	0.0063	294.5331	322.8664	-0.5352	0.0348	338.9497	320.2039	1251	1136	0.006	0.0052	12	12	20675001	Belgium
CHR1	CHR1	20700003	0.0017	0.0054	0.0054	214.2026	212.4593	-0.6452	-0.053	254.4155	215.1579	939	752	0.0054	0.005	12	12	20700003	Belgium
CHR1	CHR1	20725001	0.009	0.0032	0.0028	96.6477	73.2527	-1.4551	-0.299	148.9824	78.7893	536	271	0.003	0.0015	12	12	20725001	Belgium
CHR1	CHR1	20749606	0.01	0.0038	0.0029	76.9656	43.2194	-1.2815	0.0628	111.0566	42.5944	394	144	0.0034	0.0012	12	12	20749606	Belgium
CHR1	CHR1	20775124	0	0.0058	0.0076	186.6261	185.9923	-1.2228	-0.0254	265.5431	187.1187	968	654	0.0067	0.0031	12	12	20775124	Belgium
CHR1	CHR1	20800002	0.0049	0.0053	0.0063	288.9362	310.4605	-1.2362	-0.0191	414.2718	311.8645	1529	1090	0.0059	0.0045	12	12	20800002	Belgium
CHR1	CHR1	20825000	0.0026	0.0049	0.0055	256.6847	259.8317	-0.9282	0.1652	332.1761	250.0638	1226	874	0.0052	0.0054	12	12	20825000	Belgium
CHR1	CHR1	20850002	-0.0	0.0048	0.0055	240.9676	225.7252	-0.6293	0.2195	284.4713	214.5856	1037	750	0.0052	0.0041	12	12	20850002	Belgium
CHR1	CHR1	20875002	0	0.0166	0.0182	851.9209	779.3091	1.0763	1.3381	674.3771	590.7987	2489	2096	0.0172	0.0125	12	12	20875002	Belgium
CHR1	CHR1	20899971	0	0.0231	0.0244	1073.7659	1011.0081	1.2983	1.4408	814.9965	750.7492	3008	2701	0.0232	0.0157	12	12	20899971	Belgium
CHR1	CHR1	20925046	0	0.0208	0.0228	952.899	952.3393	1.6265	1.9369	681.6926	649.5745	2516	2337	0.0212	0.0158	12	12	20925046	Belgium
CHR1	CHR1	20949997	0	0.0168	0.0181	917.8566	909.8588	1.5439	1.8767	666.2488	626.7824	2459	2255	0.017	0.0135	12	12	20949997	Belgium
CHR1	CHR1	20974999	0	0.0133	0.0132	686.947	640.2208	0.8854	1.1453	564.6452	502.8554	2084	1784	0.0129	0.0085	12	12	20974999	Belgium
CHR1	CHR1	21000003	0	0.0169	0.0169	852.0092	774.2185	1.0956	1.4918	671.9386	571.0678	2480	2026	0.0164	0.0094	12	12	21000003	Belgium
CHR1	CHR1	21024996	0	0.0153	0.0165	800.0959	728.2152	1.049	1.5265	636.716	533.861	2350	1894	0.0155	0.0176	12	12	21024996	Belgium
CHR1	CHR1	21049998	0	0.0086	0.009	419.8003	350.1326	0.3849	1.1369	383.6553	275.3866	1416	977	0.0086	0.0166	12	12	21049998	Belgium
CHR1	CHR1	21074998	0.0115	0.0036	0.0023	192.7463	119.343	-0.8154	-0.7069	240.8683	143.3432	889	501	0.0031	0.0027	12	12	21074998	Belgium
CHR1	CHR1	21099999	0.0035	0.004	0.0031	223.802	159.0218	-0.6934	-0.5095	269.5883	180.8242	995	632	0.0036	0.0031	12	12	21099999	Belgium
CHR1	CHR1	21125002	0	0.0056	0.0037	307.5901	217.6653	-0.5176	-0.2074	352.2259	228.8913	1300	800	0.0046	0.0024	12	12	21125002	Belgium
CHR1	CHR1	21149961	0	0.0092	0.0083	428.3931	344.3555	-0.1395	0.5148	443.5337	306.6741	1637	1088	0.0086	0.0095	12	12	21149961	Belgium
CHR1	CHR1	21175419	0	0.0084	0.0091	345.0083	305.917	-0.4167	0.5418	384.1972	270.8767	1418	961	0.0087	0.0094	12	12	21175419	Belgium
CHR1	CHR1	21200060	0.0071	0.0049	0.0044	219.2737	160.1448	-1.0006	-0.2154	290.4509	168.8399	1072	599	0.0047	0.0049	12	12	21200060	Belgium
CHR1	CHR1	21225000	0.0097	0.0037	0.0028	189.054	123.1171	-1.2733	-0.3841	274.7362	135.5793	1014	481	0.0033	0.0034	12	12	21225000	Belgium
CHR1	CHR1	21249998	0	0.0032	0.0022	159.1665	112.6059	-1.3844	-0.4688	240.8683	126.8413	889	450	0.0027	0.0014	12	12	21249998	Belgium
CHR1	CHR1	21275004	0	0.004	0.0028	193.4454	130.7588	-0.9141	-0.1853	249.2676	136.7626	920	478	0.0034	0.001	12	12	21275004	Belgium
CHR1	CHR1	21300000	0	0.0038	0.0026	199.6409	125.0384	-0.9292	-0.1845	258.4796	130.7542	954	457	0.0032	0.001	12	12	21300000	Belgium
CHR1	CHR1	21325002	0	0.005	0.0042	261.5827	175.5899	-0.5286	-0.3609	300.4758	191.9826	1109	671	0.0045	0.002	12	12	21325002	Belgium
CHR1	CHR1	21349998	0	0.007	0.0064	276.9334	212.9418	-0.3351	0.0026	301.4792	212.8116	1099	755	0.0066	0.0046	12	12	21349998	Belgium
CHR1	CHR1	21374999	0	0.0044	0.0038	160.3762	126.0341	-1.0921	-0.0332	218.3599	127.0347	796	444	0.004	0.0054	12	12	21374999	Belgium
CHR1	CHR1	21400001	0	0.0036	0.0024	124.8817	84.1806	-1.3133	-0.3393	183.521	91.5565	669	320	0.003	0.0023	12	12	21400001	Belgium
